atomic_volume_delta,atomic_weight_uncertainty_delta,electron_affinity_delta,fusion_heat_delta,metallic_radius_avg,molar_heat_capacity_delta,thermal_conductivity_delta,vdw_radius_batsanov_avg,vdw_radius_batsanov_delta,T
0.2581341005802225,0.0010517697656806,0.3653320037651628,2.529221224013431,116.85,0.7180327290590587,93.20769536363402,202.25,2.4874685927665356,300
0.2498924996788561,0.0010615063070938,0.3566268097823955,2.526941778118364,116.95,0.6586901775493541,93.41296002161585,202.49999999999997,2.499999999999986,300
0.266747382435426,0.0010895079806958,0.3541072025837217,2.533306682973856,116.7,0.8185163407043256,110.05290489123854,201.5,2.291287847477907,300
0.2636063618911263,0.0011068891724106,0.3669529525731724,2.556604975353056,116.8,0.7710244808045977,110.30812526736187,201.75,2.3848480035423507,300
0.2580050498980485,0.0011182931815941,0.3726484977598446,2.565586628823903,116.9,0.7171359703710305,110.56026354436752,202.0,2.449489742783164,300
0.2497779839505649,0.0011239019708141,0.371522827512885,2.5604023121376844,117.0,0.6552745607758625,110.809340761508,202.25,2.4874685927665356,300
0.2634620423539827,0.0011715646119612,0.358791749221981,2.5948858838106923,116.85,0.7708532610036747,123.17883990361332,201.5,2.291287847477907,300
0.257875798563724,0.0011789570136353,0.3720094794360339,2.600843901505817,116.95,0.7147160275242185,123.47286128943476,201.75,2.3848480035423507,300
0.2496632751497905,0.0011808961173617,0.3781540179222865,2.5928294872590447,117.05,0.6501682474559948,123.76395719271424,202.0,2.449489742783164,300
0.2773575452045711,0.0007823321800872,0.3366055495789826,2.544594270212837,116.65,0.8739615266131568,7.549860925871414,202.25,2.4874685927665356,300
0.2734804220772169,0.000827900742843,0.3298672907213883,2.6030472047198834,116.75,0.8303216244323639,7.965881934851907,202.5,2.499999999999986,300
0.2672078187240313,0.000863710391277,0.3150737024386023,2.646539060735737,116.85,0.7812520399973364,8.32819908503633,202.74999999999997,2.4874685927665356,300
0.2583653213282927,0.0008909386286383,0.2909988341022502,2.6757994599745323,116.95,0.7256521205095453,8.643568418193956,203.0,2.449489742783164,300
0.2772097863856443,0.0008884838996853,0.3417130168942484,2.593263339886638,116.7,0.8760734843607582,67.5680242422405,202.0,2.449489742783164,300
0.2733477401145454,0.0009245429357255,0.3431093402917923,2.6478028627524366,116.8,0.8306196482145118,67.74012308078574,202.25,2.4874685927665356,300
0.2670895957044726,0.0009525521717995,0.3370906819773708,2.6877731954166073,116.9,0.7795182807349674,67.9077271008241,202.5,2.499999999999986,300
0.2582612262642677,0.0009732068844803,0.3232431149405489,2.713818158978232,117.0,0.7215705093752097,68.07086950377526,202.74999999999997,2.4874685927665356,300
0.2770618221182652,0.0009806954879064,0.3381671122722742,2.640444848884369,116.75,0.8769394220811374,92.52001729355656,201.75,2.3848480035423507,300
0.2732148652862344,0.0010095244623088,0.3475058694512496,2.691234800235758,116.85,0.8296059305477508,92.73657032152956,202.0,2.449489742783164,300
0.2669711888975143,0.0010313659098496,0.3494474749995612,2.7278123102589,116.95,0.7763792565492714,92.94965357654648,202.25,2.4874685927665356,300
0.2581569533044276,0.0010466573651391,0.3441171621178882,2.750744399249047,117.04999999999998,0.7159462270310526,93.15929086784637,202.5,2.499999999999986,300
0.273081797310753,0.0010855872327915,0.3433967955742583,2.733406116917133,116.9,0.8272756493454884,109.98862157059702,201.75,2.3848480035423507,300
0.2668525980585082,0.0011023046947192,0.3531595499079261,2.76670828783954,117.0,0.7718178217688416,110.24470508827169,202.0,2.449489742783164,300
0.2580525022331219,0.0011130371242685,0.3556288109415053,2.78662161048105,117.1,0.70874254846171,110.49770076793452,202.25,2.4874685927665356,300
0.2667338229419903,0.0011668057421867,0.3485032533546408,2.804508691375372,117.04999999999998,0.7658085596283182,123.10251865823054,201.75,2.3848480035423507,300
0.2579478728339821,0.0011735466075107,0.3586806393984333,2.821489810366148,117.15,0.6999107085907454,123.3973600811622,202.0,2.449489742783164,300
0.2868605784299893,0.0007234221727318,0.3178523018885799,2.632215796624585,116.75,0.9296316474819472,7.065145079897508,202.25,2.4874685927665356,300
0.2823325595100582,0.0007796894509995,0.3148445557673959,2.714150834054732,116.85,0.8839415987496002,7.555124088987551,202.5,2.499999999999986,300
0.2754605245981865,0.0008244341332089,0.3036016761759871,2.780663410051637,116.95,0.8329381729756413,7.980744012935133,202.75,2.4874685927665356,300
0.2660629076260176,0.0008594577592877,0.2831443735223586,2.8328400501969746,117.05,0.7755738198263267,8.35185009444015,202.99999999999997,2.449489742783164,300
0.2867234743475782,0.0008412488573543,0.3189095102430608,2.6845958261906016,116.8,0.9285127893572598,67.35512805273257,202.0,2.449489742783164,300
0.2822098889556961,0.0008855933829924,0.3244185324607226,2.7622563240944893,116.9,0.8809499134457073,67.53301711015139,202.25,2.4874685927665356,300
0.2753518401190037,0.0009208971929591,0.3220890679369123,2.8249751768820905,117.0,0.8278315045949867,67.70636805352949,202.5,2.499999999999986,300
0.2659680319879656,0.0009481706808375,0.3117454509130308,2.8737308503059222,117.1,0.7680056965934559,67.87521565343273,202.75,2.4874685927665356,300
0.2820870406642636,0.0009775661819027,0.3247959268703487,2.8089828675162827,116.95,0.8767067639752754,92.468454621022,202.0,2.449489742783164,300
0.2752429852391964,0.0010056896340322,0.3308073118781822,2.868058576807664,117.05,0.821368370464799,92.68597776902394,202.25,2.4874685927665356,300
0.2658729905164157,0.0010268337937563,0.3291267781153167,2.9135124420534053,117.15,0.7589286857142766,92.90002475780078,202.5,2.499999999999986,300
0.2751339597565109,0.0010815598180405,0.3305303427821248,2.909968169929011,117.1,0.8135164411368705,109.9240959708107,202.0,2.449489742783164,300
0.2657777830334629,0.0010976099671559,0.3370287316834708,2.9522296658627356,117.2,0.7482878790946699,110.18104419545132,202.25,2.4874685927665356,300
0.2656824093606361,0.0011619413238197,0.3361205377357488,2.9899238702682713,117.25,0.7360154550007759,123.02596717766538,202.0,2.449489742783164,300
0.2657046598288798,0.0007968436735018,0.3365887101463974,2.3426446593540384,116.5,0.8044592904553963,7.738880733025931,202.0,2.449489742783164,300
0.2646098621035783,0.0008444547590013,0.3298215911519674,2.38405594523283,116.6,0.7614860471472867,8.164888241733623,202.25,2.487468592766536,300
0.2611167090407348,0.0008822969114759,0.3149959986761984,2.409747082164433,116.7,0.7126448975471582,8.537521595873123,202.49999999999997,2.499999999999986,300
0.2551267059877266,0.0009115875383088,0.2908823669011506,2.4202187401142066,116.8,0.6566277484237166,8.863515104065653,202.75,2.4874685927665356,300
0.2655285281446679,0.000902939555009,0.3417261179547381,2.3908648539806676,116.55,0.8097337525384499,67.51703099959299,201.75,2.3848480035423507,300
0.2644507517601248,0.0009409802548406,0.3430949750206429,2.4283582931684524,116.65,0.7649666659404184,67.69162503589348,202.0,2.449489742783164,300
0.2609734559383611,0.0009709726257727,0.337048155426514,2.45051683324151,116.75,0.7141251640994033,67.86170845918927,202.25,2.4874685927665356,300
0.2549984961767879,0.0009936457316367,0.3231696632860448,2.4577552766701567,116.85,0.6557979871881277,68.02731510209705,202.49999999999997,2.499999999999986,300
0.2653521473137469,0.0009953089168695,0.3382103481368002,2.437491538446851,116.6,0.8136367432706069,92.42990249372764,201.5,2.291287847477907,300
0.2642914128608143,0.0010260525522603,0.3475208796300095,2.4712354703669983,116.7,0.7670130376988383,92.64839448150197,201.75,2.3848480035423507,300
0.2608299896292783,0.0010498227659943,0.3494354861355892,2.489992771073843,116.8,0.7140789522174699,92.86340439053482,202.0,2.449489742783164,300
0.2548700841961421,0.0010670856760354,0.3440776528093848,2.494101591756037,116.9,0.6533023802191444,93.07495635239373,202.25,2.4874685927665356,300
0.2641318449920142,0.0011023265577858,0.343441525842778,2.5127604342634813,116.75,0.767636632789238,109.8697961225013,201.5,2.291287847477907,300
0.2606863097614775,0.0011209227627272,0.3531764132345414,2.528235501293343,116.85,0.7125059648873121,110.12760995772132,201.75,2.3848480035423507,300
0.2547414697400554,0.0011335836272635,0.3556191095219935,2.5293089965443127,116.95,0.6491217143186627,110.38232467202349,202.0,2.449489742783164,300
0.2605424159816484,0.0011856676768808,0.3485494495184515,2.5653001773671633,116.9,0.7093960459433076,122.95790855004,201.5,2.291287847477907,300
0.254612652501694,0.001194299727874,0.3586993043645549,2.5634244186244306,117.0,0.6432231339123302,123.25439505348278,201.75,2.3848480035423507,300
0.2766001251368133,0.0007362634311168,0.317849633037409,2.47796368012124,116.6,0.871972476629853,7.2383976127317,202.0,2.449489742783164,300
0.2747460489580883,0.0007946243389174,0.3148119858169564,2.5442489559789543,116.7,0.827378238775954,7.7381053882717294,202.25,2.4874685927665356,300
0.2705684707436452,0.0008414106250814,0.3035369147336376,2.594902888356325,116.8,0.7772187594236255,8.173793488949912,202.5,2.499999999999986,300
0.2639570932047942,0.0008784735852602,0.2830417032841902,2.6308285291899964,116.9,0.7203323885540617,8.555248389146861,202.74999999999997,2.4874685927665356,300
0.2764369073193432,0.0008540631358394,0.3189386604292674,2.5292280937076432,116.65,0.8735416418236738,67.30091455545013,201.75,2.3848480035423507,300
0.2745988235604627,0.0009004264767319,0.3244181966357861,2.5913016034417917,116.75,0.8270989964931643,67.4813194521269,202.0,2.449489742783164,300
0.270436328593982,0.0009377162897166,0.3220595263307942,2.6382025604566453,116.85,0.7748586967957445,67.65716961268777,202.25,2.4874685927665356,300
0.2638394312760874,0.0009669828540362,0.3116847537054316,2.670730424434484,116.95,0.7155520596015356,67.82850046256368,202.5,2.499999999999986,300
0.2744513913336017,0.0009925259895841,0.3248268249434082,2.6369233492841615,116.8,0.8255015142324086,92.37779427438176,201.75,2.3848480035423507,300
0.2703039920306012,0.0010225711906757,0.3308092175179156,2.680220886419625,116.9,0.7710804108522012,92.59725967867516,202.0,2.449489742783164,300
0.2637215837972006,0.0010456556985929,0.3291001148386545,2.709469090061741,117.0,0.709205717687047,92.81323652906411,202.25,2.4874685927665356,300
0.2701714607678173,0.0010986318036539,0.3305629414940755,2.721017227067848,116.95,0.7658629120149371,109.8047840487836,201.75,2.3848480035423507,300
0.2636035505192757,0.0011165732577847,0.3370327958540765,2.7470937370246395,117.05,0.7012508467018057,110.06346566867684,202.0,2.449489742783164,300
0.2634853311926161,0.0011811332862975,0.3361547937715831,2.7836495379267845,117.1,0.6916319469197467,122.88089467040838,201.75,2.3848480035423507,300
0.2868117424368486,0.0006628784503964,0.2957003443454464,2.556056337407296,116.7,0.9263934099506532,6.632290328385811,202.0,2.449489742783164,300
0.2842482842810598,0.0007348141533748,0.2968244697426672,2.646409407102386,116.8,0.8797363241335436,7.223565601557167,202.25,2.4874685927665356,300
0.2794232316467014,0.0007922725793563,0.2893453179680217,2.7204707313257384,116.9,0.8276247640084239,7.73442143925452,202.5,2.499999999999986,300
0.2722163503560013,0.000838236148111,0.272555563549922,2.779542903068776,117.0,0.7689505835877878,8.179938875077243,202.75,2.4874685927665356,300
0.2841117933105302,0.0008522275752403,0.3024136996440729,2.6969545787795535,116.85,0.8761843413346299,67.26358301488257,202.0,2.449489742783164,300
0.2793011893018233,0.0008977949877338,0.3041662258115052,2.7669464667752424,116.95000000000002,0.8219031268951343,67.44525539279987,202.25,2.4874685927665356,300
0.272108326485603,0.0009343339017717,0.2975399386912882,2.8223821498868644,117.05,0.7606878466230411,67.62236390425878,202.5,2.499999999999986,300
0.279178967919128,0.0009896341950438,0.3089307249511054,2.81209957149458,117.0,0.8148059584956403,92.32541294248296,202.0,2.449489742783164,300
0.2720001307093428,0.001018979803529,0.3112847812065594,2.86403609439546,117.1,0.7508854772866493,92.5458534997652,202.25,2.4874685927665356,300
0.2718917628219977,0.0010948332475769,0.3152635959085914,2.90455573194938,117.15,0.739482251308305,109.73952842982332,202.0,2.449489742783164,300
0.2605001597556677,0.0009379821746707,0.4047875619530287,2.5887685779149896,116.75,0.8128436196464851,68.45313634158774,202.75,2.4874685927665356,1100
0.260384310571926,0.0010075865024899,0.4153871811443836,2.6268439237990515,116.8,0.8190718832923027,93.78829604486906,202.49999999999997,2.499999999999986,1100
0.250568279638418,0.0010067286426838,0.4106760007659043,2.633995586556667,116.9,0.7764077536964707,93.9817354596094,202.75,2.487468592766536,1100
0.2602682750024594,0.0010703506715091,0.4187657700986042,2.6637895468673944,116.85,0.8239324911666002,111.3226628993396,202.25,2.4874685927665356,1100
0.250466437914988,0.0010657966785461,0.4206187555878566,2.6680234256842645,116.95,0.7794831621016579,111.56114422145372,202.49999999999997,2.499999999999986,1100
0.2376372063061343,0.0010551751323832,0.416443729570127,2.6586355052921413,117.05,0.7291219033879038,111.79665144806438,202.75,2.4874685927665356,1100
0.2601520527978672,0.0011274176510947,0.4150996870072019,2.6996518294031913,116.9,0.8274495452896203,124.399776024718,202.0,2.449489742783164,1100
0.2503644146122577,0.0011195278290422,0.4234503719439588,2.701045121800078,117.0,0.7811536340567069,124.6807499175394,202.25,2.487468592766536,1100
0.2375494335573707,0.0011058094591745,0.4257494096830635,2.688975455447669,117.1,0.7287144502478318,124.9588863386674,202.49999999999997,2.499999999999986,1100
0.2211815327119603,0.0010860416934906,0.4220956967222919,2.663259797691543,117.2,0.6686882681788276,125.23420419358284,202.75,2.4874685927665356,1100
0.2688178172500799,0.0008380946008655,0.3772088563735971,2.7192381285941103,116.8,0.878466846272527,7.7002337626853885,203.0,2.449489742783164,1100
0.2687118280009755,0.0009218582103555,0.3925099250641657,2.7612321072303936,116.85,0.88219669008674,68.27874852397342,202.74999999999997,2.4874685927665356,1100
0.2583398564316451,0.0009312865080092,0.3838138658515049,2.795395499745966,116.95,0.8395920140163314,68.42650710799143,203.0,2.449489742783164,1100
0.2686056662946708,0.0009961137284467,0.399957849305495,2.8020401496052836,116.9,0.8846807333722146,93.54549481402084,202.5,2.499999999999986,1100
0.2582476076544151,0.0010008569128501,0.3983245204190636,2.8330571384989747,117.0,0.8402992026653362,93.74321562118509,202.74999999999997,2.4874685927665356,1100
0.2449056828718934,0.0009991929543386,0.3902671404475107,2.8510377058187077,117.1,0.7904688482160442,93.93758619423858,203.0,2.449489742783164,1100
0.2684993319266029,0.0010628558509976,0.3999915513711222,2.841713347612669,116.95,0.8859294554308483,111.0207633733438,202.25,2.4874685927665356,1100
0.2581551899900218,0.0010635480995234,0.4051376105896329,2.869680992723756,117.05,0.8397099201510004,111.26307687188954,202.5,2.499999999999986,1100
0.2448274019439643,0.0010582091286697,0.4040168323972122,2.884826294597302,117.15,0.7878134296900502,111.50239190259552,202.74999999999997,2.4874685927665356,1100
0.2279933225262831,0.0010467466551176,0.3965760875371548,2.8873510351185216,117.25,0.7290286345542264,111.73872773125709,203.0,2.449489742783164,1100
0.2683928246915515,0.0011234244789926,0.3926129405858613,2.8802985956320573,117.0,0.8859480797428252,124.04248626982611,202.0,2.449489742783164,1100
0.2580626032570189,0.0011205153100248,0.4046421424684743,2.905306309152272,117.1,0.8378214308550477,124.32711801936053,202.25,2.4874685927665356,1100
0.2447489526101476,0.0011118572570253,0.4102139451645654,2.917688982739593,117.2,0.7837608053481621,124.6088877247526,202.5,2.499999999999986,1100
0.2279296737106296,0.0010973142485177,0.4095919593369443,2.9176073673474296,117.3,0.7224352912199125,124.8878147578858,202.74999999999997,2.4874685927665356,1100
0.2764961374962509,0.0008097002902308,0.366009244813129,2.833601242235752,116.9,0.9379353655769674,7.495230149902,202.99999999999997,2.449489742783164,1100
0.2655795743433611,0.0008320375953044,0.3526366183972915,2.893326588893829,117.0,0.8950307257295692,7.762415861057688,203.25,2.3848480035423507,1100
0.2763990650953138,0.0009000191997952,0.3780859521800261,2.878868310638748,116.95,0.9383574745266324,68.09722369524324,202.75,2.4874685927665356,1100
0.2654961909778485,0.0009158092377782,0.3725398026813739,2.935110900800854,117.05,0.8936839486082311,68.25056776320619,202.99999999999997,2.449489742783164,1100
0.2516429125010754,0.0009244341837037,0.3599620770690671,2.978135112784509,117.15,0.8438736576052126,68.39953855838502,203.25,2.3848480035423507,1100
0.276301831594058,0.0009795175138811,0.3821778737486996,2.922900785178997,117.0,0.9376186591573352,93.29717827994584,202.5,2.499999999999986,1100
0.2654126492097566,0.0009900134140505,0.3838540667090516,2.975784392391357,117.1,0.891113909665874,93.4992144352026,202.75,2.487468592766536,1100
0.251573429298379,0.0009939811668235,0.3789166621766283,3.0157347363453564,117.2,0.8392465370795399,93.69787337501316,202.99999999999997,2.449489742783164,1100
0.2342619261584067,0.0009914991477555,0.3670989025059555,3.0432612030517525,117.3,0.7809487819313119,93.89317653589104,203.25,2.3848480035423507,1100
0.2762044368223447,0.0010506543484895,0.3785440359195704,2.965753656324139,117.05,0.9357161695728032,110.71392538881456,202.25,2.4874685927665356,1100
0.2653289488894611,0.0010566676677177,0.3873328084170989,3.015392014315883,117.15,0.8873099796576163,110.96010273967843,202.5,2.499999999999986,1100
0.2515037873816594,0.0010566070982157,0.3894967224795057,3.052360193358575,117.25,0.8332879154289947,111.20325658450834,202.75,2.4874685927665356,1100
0.2342071791511668,0.0010504715893349,0.385147457694163,3.077114882483265,117.35,0.7724726532376402,111.4434067139012,202.99999999999997,2.449489742783164,1100
0.276106880609513,0.0011150311923888,0.3669549932586788,3.0074773482106227,117.1,0.9326428844954532,123.68048057393698,202.0,2.449489742783164,1100
0.2652450898668645,0.0011171242366003,0.3831894889261409,3.0539752372931903,117.2,0.8822561986180654,123.96880212376016,202.25,2.487468592766536,1100
0.2514339866190353,0.0011134803815065,0.3923802706170088,3.0880461460282613,117.3,0.8259689764149737,124.25423644689144,202.5,2.499999999999986,1100
0.2341522694869655,0.0011040428252563,0.3950192958774002,3.1100985113015307,117.4,0.7624755733792392,124.53680339562275,202.75,2.4874685927665356,1100
0.2647091387347969,0.0008620690227586,0.3771557721713929,2.503632560900261,116.65,0.8054185247435024,7.998554556918392,202.75,2.4874685927665356,1100
0.264579536215616,0.000945284613225,0.3924847594699693,2.544900538331508,116.7,0.8124555372449619,68.2414278499505,202.49999999999997,2.499999999999986,1100
0.2570813983695331,0.0009569759662603,0.3837636218738035,2.561483164106295,116.8,0.7705898714621154,68.39160840337067,202.75,2.4874685927665356,1100
0.2644497374925389,0.0010192953448338,0.3999585182868339,2.584906381283469,116.75,0.8181020718712303,93.46596318981578,202.25,2.4874685927665356,1100
0.2569660795583035,0.0010262567904769,0.3983015784649863,2.5983396140612567,116.85,0.7744770816492891,93.66556144069172,202.49999999999997,2.499999999999986,1100
0.2467257833655637,0.0010269581296235,0.3902196220914572,2.597771352525083,116.95,0.7250062068699824,93.86179880547785,202.75,2.4874685927665356,1100
0.2643197422765179,0.0010859848065235,0.4000175824688206,2.623707824815865,116.8,0.8223867703216046,110.90968521729742,202.0,2.449489742783164,1100
0.256850572358607,0.0010888539847013,0.4051400959442297,2.6340882673137584,116.9,0.7769444960870754,111.15368145050348,202.25,2.4874685927665356,1100
0.246624513450829,0.0010858374648169,0.4039960437915199,2.630668878821506,117.0,0.725438488088411,111.3946689702878,202.49999999999997,2.499999999999986,1100
0.2332792929063088,0.0010768857878159,0.3965311897653193,2.6133954924580394,117.1,0.6664643651389021,111.63266726187275,202.75,2.4874685927665356,1100
0.2641895502774982,0.0011466311525508,0.392665297955141,2.6613575483200296,116.85,0.825330842753377,123.90362575405128,201.75,2.3848480035423507,1100
0.2567348765161706,0.0011458634299077,0.4046697014550258,2.668773641581466,116.95,0.7780056233729931,124.18986512594334,202.0,2.449489742783164,1100
0.2465230595985192,0.0011394924308656,0.4102182020988338,2.662574130423414,117.05,0.7243686906541444,124.47323196173544,202.25,2.4874685927665356,1100
0.2331921627284069,0.0011274231681139,0.4095732588813626,2.6426631926902826,117.15,0.6628896967067747,124.75374583554596,202.49999999999997,2.499999999999986,1100
0.2735048495083844,0.0008319873797119,0.3659677063071271,2.664945778060034,116.75,0.8772073586102659,7.774959806970064,202.74999999999997,2.4874685927665356,1100
0.2654098311154395,0.000856529625874,0.352566827874092,2.709026162664362,116.85,0.8354226475263881,8.052755739496881,203.0,2.449489742783164,1100
0.2733854550952663,0.0009217391171041,0.3780725750351374,2.709006967506728,116.8,0.8803991992272594,68.0567785014836,202.5,2.499999999999986,1100
0.2653044869313285,0.0009397036766981,0.3725009772486505,2.749646522737059,116.9,0.8368631907307188,68.21256097669988,202.74999999999997,2.4874685927665356,1100
0.2545142005158851,0.0009506224276756,0.3598957614486446,2.776654956958102,117.0,0.7879547893121785,68.36395687787534,203.0,2.449489742783164,1100
0.2732658801097158,0.0010010009990005,0.3821911850470909,2.7517959590056815,116.85,0.882346162228861,93.2152262240456,202.25,2.4874685927665356,1100
0.2651989685887083,0.0010136286302191,0.3838428167690515,2.7891161234340887,116.95,0.8370011947422772,93.4191536838137,202.5,2.499999999999986,1100
0.2544226570079537,0.0010198445960047,0.378880441620704,2.813072341764427,117.05,0.7860679041914888,93.61969290699471,202.74999999999997,2.4874685927665356,1100
0.2405731232028094,0.0010197661496637,0.3670358907521166,2.82400473618583,117.15,0.7283749034666143,93.81686562127302,203.0,2.449489742783164,1100
0.2731461243145857,0.0010721021406563,0.3785842731304348,2.7933712159324617,116.9,0.8830564817722586,110.60067766519332,202.0,2.449489742783164,1100
0.2650932758796113,0.0010802050731226,0.3873478513161001,2.827483156448505,117.0,0.8358373047429741,110.84855107307447,202.25,2.487468592766536,1100
0.2543309425830514,0.0010823506825424,0.3894875337885664,2.8484765665176184,117.1,0.782786529010304,111.09339044245613,202.5,2.499999999999986,1100
0.2404956455819484,0.0010785745222282,0.3851137429827708,2.856640684440379,117.2,0.7226209241365763,111.33521578997365,202.74999999999997,2.4874685927665356,1100
0.2730261874719537,0.0011365751185029,0.3670241433416876,2.833786159892803,116.95,0.8825331438535322,123.53954670468886,201.75,2.3848480035423507,1100
0.2649874085953944,0.0011407203864225,0.3832311676432381,2.8647919208905908,117.05,0.8333660660238088,123.829489520873,202.0,2.449489742783164,1100
0.2542390570562078,0.0011392466809256,0.3923970042070909,2.8829049585444193,117.15,0.7780930214312421,124.116534353808,202.25,2.4874685927665356,1100
0.2404179970419268,0.0011321320594347,0.3950121073691282,2.888367834954544,117.25,0.7152999370893302,124.4007012641006,202.5,2.499999999999986,1100
0.2817508840847359,0.0007946338779588,0.3525508795013844,2.7706490214388393,116.85,0.9354004490056648,7.484108163301755,202.75,2.4874685927665356,1100
0.2730922660115769,0.0008270931023772,0.3424193389613087,2.837347837329783,116.95,0.8915855259031515,7.817768223732395,202.99999999999997,2.449489742783164,1100
0.2617620189757111,0.0008508366470715,0.3242834558718648,2.889984256012478,117.05,0.8427164410405196,8.103818544365366,203.25,2.3848480035423507,1100
0.2816408467077558,0.0008921003306803,0.3612579861694405,2.8181055249936966,116.9,0.935312247327062,67.8649134310212,202.5,2.499999999999986,1100
0.2729959332795943,0.0009167785992266,0.359045002233285,2.8810963191118755,117.0,0.8896958750044868,68.02634489666485,202.75,2.4874685927665356,1100
0.2616794535117858,0.00093398233388,0.3496700869193698,2.9303809905880835,117.1,0.8388110633509787,68.18335189032584,202.99999999999997,2.449489742783164,1100
0.2473249622325901,0.000944120225395,0.3325280450483834,2.9666427152591193,117.2,0.7816295478038171,68.33596490867748,203.25,2.3848480035423507,1100
0.2815306416847777,0.0009773653359926,0.3617281610618665,2.864231310491525,116.95,0.9340588846534243,92.95891175675412,202.25,2.4874685927665356,1100
0.2728994379629708,0.0009959332306937,0.3670154541197137,2.9236567428479012,117.05,0.8865747289428001,93.16720399368008,202.5,2.499999999999986,1100
0.2615967278535093,0.0010078308389804,0.3653810334708134,2.9697030154545754,117.15,0.8335820295567794,93.372079740145,202.75,2.4874685927665356,1100
0.2472564186364344,0.0010132931461329,0.3567297726258626,3.002985639326302,117.25,0.7739500952903873,93.57356143697857,202.99999999999997,2.449489742783164,1100
0.2814202688188498,0.0010533959369581,0.3539942265619591,2.909089677201443,117.0,0.9316356583987108,110.2866731522898,202.0,2.449489742783164,1100
0.2728027798891788,0.0010669034632992,0.3668952077865009,2.965080268727981,117.1,0.8822090171835694,110.53845665649578,202.25,2.4874685927665356,1100
0.2615138418488568,0.0010743011682019,0.3726421199411033,3.0079924783815533,117.2,0.8270042321536205,110.7871801022122,202.5,2.499999999999986,1100
0.2471877140796628,0.0010757151109843,0.371567060719461,3.038380489668797,117.3,0.7647710441694294,111.0328640538467,202.75,2.4874685927665356,1100
0.2727059588851552,0.0011312307456924,0.3586761260952555,3.00541390660255,117.15,0.8765801446530712,123.46437178392802,202.0,2.449489742783164,1100
0.2614307953453163,0.0011346907067566,0.3719485441404492,3.0452883278927794,117.25,0.8190451757992347,123.75512706550788,202.25,2.4874685927665356,1100
0.2471188484280233,0.0011325029801285,0.3781438225671546,3.0728600277266125,117.35,0.7540376316869069,124.04297884201266,202.5,2.499999999999986,1100
0.2668971618457367,0.0008526519571313,0.3659260673418383,2.4540220047913177,116.6,0.8053600126651432,8.033397475539223,202.49999999999997,2.499999999999986,1100
0.2615848815193616,0.0008793312004017,0.3524969241415641,2.4807165799421744,116.7,0.7642800533835746,8.321814705940042,202.75,2.4874685927665356,1100
0.266753021673936,0.0009420166452881,0.3780591047456252,2.4974392385001076,116.65,0.8118083209723831,68.01494155698438,202.25,2.4874685927665356,1100
0.2614557664127757,0.0009620828238774,0.372462053704889,2.5206911750549685,116.75,0.7689934980219271,68.17316847558135,202.49999999999997,2.499999999999986,1100
0.2535847092371769,0.0009751981132057,0.359829336240201,2.529423798021992,116.85,0.7203920807449231,68.32699521419042,202.75,2.4874685927665356,1100
0.2666086719604055,0.0010211637283021,0.3822044042156809,2.539500147666859,116.7,0.8168737662576756,93.13220321134898,202.0,2.449489742783164,1100
0.26132645323988,0.0010358491009794,0.3838314752216962,2.559432114747332,116.8,0.7722693830523126,93.33802762004348,202.25,2.487468592766536,1100
0.253469899813517,0.0010442180615178,0.3788441251225412,2.565101167595539,116.9,0.721673575794486,93.54045261276,202.49999999999997,2.499999999999986,1100
0.2427892271294353,0.0010464221710189,0.3669727727078177,2.556602188452478,117.0,0.6637175604125596,93.73950021202376,202.75,2.4874685927665356,1100
0.2664641123646047,0.0010923165109069,0.3786244135322809,2.580271061342199,116.75,0.8205819581248418,110.48647190946048,201.75,2.3848480035423507,1100
0.2611969417064991,0.0011024351953743,0.3873628031854164,2.596994609158825,116.85,0.7741259587431489,110.736046976583,202.0,2.449489742783164,1100
0.2533548998647844,0.0011066938872154,0.3894782549265922,2.599688971781047,116.95,0.7214449043412806,110.9825773488794,202.25,2.4874685927665356,1100
0.242688508100933,0.0011051603322595,0.3850799343378769,2.5883979601290057,117.05,0.6610521915855054,111.22608327186568,202.49999999999997,2.499999999999986,1100
0.2663193425447579,0.001156950889191,0.3670931849591649,2.619812207010266,116.8,0.8229512439993025,123.39769801337462,201.5,2.291287847477907,1100
0.2610672315174219,0.0011630749588913,0.3832727504173283,2.6334290858118807,116.9,0.7745734309928268,123.6892679257178,201.75,2.3848480035423503,1100
0.2532397091314182,0.0011636800934964,0.392413647802244,2.63323014565761,117.0,0.7197046269130132,123.97792898334768,202.0,2.449489742783164,1100
0.2425876026095614,0.0011587749393216,0.3950048300343474,2.619212238441169,117.1,0.6567198794006465,124.26370145782718,202.25,2.4874685927665356,1100
0.2763324671023537,0.0008136850496352,0.3525213283664743,2.6068187508915917,116.7,0.8757060008929936,7.725645604090313,202.5,2.499999999999986,1100
0.2703896021257991,0.0008482283654771,0.3423614416406491,2.657892915450131,116.8,0.8330022508973187,8.069168172742463,202.74999999999997,2.4874685927665356,1100
0.2619266791503256,0.0008741277709808,0.3241933088317271,2.694569538905982,116.9,0.7849968152801639,8.36576954021565,203.0,2.449489742783164,1100
0.2761992278128756,0.0009107487908309,0.3612572308951941,2.653096822582998,116.75,0.8783586966609938,67.81992258916254,202.25,2.4874685927665356,1100
0.2702708012113607,0.0009374813918153,0.3590180450103638,2.700511803343951,116.85,0.8338733417012439,67.9838162726983,202.5,2.499999999999986,1100
